,lat,lon,latlon
14977,9.5480803,77.5351477,9.5480803;77.5351477
14978,9.5073667,78.0521188,9.5073667;78.0521188
14979,8.5632035,77.3682568,8.5632035;77.3682568
14980,9.1759395,76.9532467,9.1759395;76.9532467
14981,10.744807,76.9333791,10.744807;76.9333791
14982,9.9389192,77.6874928,9.9389192;77.6874928
14983,9.842675,80.2700037,9.842675;80.2700037
14984,9.9644866,80.1684412,9.9644866;80.1684412
14985,9.464118,80.2479804,9.464118;80.2479804
14986,9.4524014,80.3040133,9.4524014;80.3040133
14987,10.9424676,79.3685317,10.9424676;79.3685317
14988,10.6494967,79.8450942,10.6494967;79.8450942
14989,10.380319,78.39385,10.380319;78.39385
14990,10.3373524,78.5955608,10.3373524;78.5955608
14991,10.9623481,78.6687017,10.9623481;78.6687017
14992,11.0987133,77.0626217,11.0987133;77.0626217
14993,11.3121407,77.9661121,11.3121407;77.9661121
14994,11.0781171,77.9447615,11.0781171;77.9447615
14995,11.001762,77.3467689,11.001762;77.3467689
14996,10.1654688,77.2423092,10.1654688;77.2423092
14997,12.923997,77.7870461,12.923997;77.7870461
14998,12.7702283,80.224268,12.7702283;80.224268
14999,12.6636946,80.1469533,12.6636946;80.1469533
15000,12.930751,79.1018903,12.930751;79.1018903
15001,11.1413285,79.4783733,11.1413285;79.4783733
15002,13.0362133,78.147145,13.0362133;78.147145
15003,13.0326649,78.8609797,13.0326649;78.8609797
15004,13.0397617,78.1684956,13.0397617;78.1684956
15005,13.0294636,78.1429712,13.0294636;78.1429712
15006,12.9353579,78.7160433,12.9353579;78.7160433
15007,12.6904108,77.278406,12.6904108;77.278406
15008,13.1168282,77.2811656,13.1168282;77.2811656
15009,13.1161125,77.5617009,13.1161125;77.5617009
15010,13.167125,77.7882634,13.167125;77.7882634
15011,11.9354031,80.2041943,11.9354031;80.2041943
15012,11.3056713,79.9717689,11.3056713;79.9717689
15013,11.7711037,79.1429712,11.7711037;79.1429712
15014,11.9382469,79.4149257,11.9382469;79.4149257
15015,9.9409154,79.8147774,9.9409154;79.8147774
15016,10.3627904,78.0731253,10.3627904;78.0731253
15017,11.5223426,78.0809378,11.5223426;78.0809378
15018,11.7363608,78.0993912,11.7363608;78.0993912
15019,12.1333533,77.8520823,12.1333533;77.8520823
15020,8.9575424,77.3520135,8.9575424;77.3520135
15021,11.0206915,77.3520823,11.0206915;77.3520823
15022,8.7260826,77.969201,8.7260826;77.969201
15023,8.3805627,77.7029033,8.3805627;77.7029033
15024,8.1994567,76.9576813,8.1994567;76.9576813
15025,8.7825529,80.117378,8.7825529;80.117378
15026,11.8441001,80.1499734,11.8441001;80.1499734
15027,9.9409285,79.6121878,9.9409285;79.6121878
15028,9.1760106,78.1404033,9.1760106;78.1404033
15029,9.1760192,78.0139203,9.1760192;78.0139203
15030,9.1230973,78.3939044,9.1230973;78.3939044
15031,8.6905685,77.9710818,8.6905685;77.9710818
15032,10.3908565,77.326283,10.3908565;77.326283
15033,10.9806981,77.5243551,10.9806981;77.5243551
15034,10.9622318,77.6998,10.9622318;77.6998
15035,10.9622275,80.2066793,10.9622275;80.2066793
15036,10.6671396,79.1411448,10.6671396;79.1411448
15037,11.1110207,79.4194976,11.1110207;79.4194976
15038,11.0900688,79.6581152,11.0900688;79.6581152
15039,11.2924867,79.3172624,11.2924867;79.3172624
15040,10.3628035,79.2866851,10.3628035;79.2866851
15041,10.5126681,78.5066432,10.5126681;78.5066432
15042,12.9107499,78.7288943,12.9107499;78.7288943
15043,12.1025097,78.1480097,12.1025097;78.1480097
15044,12.8663519,77.0028672,12.8663519;77.0028672
15045,12.9348945,80.1104987,12.9348945;80.1104987
15046,12.4700486,78.4041331,12.4700486;78.4041331
15047,13.0229533,77.3243878,13.0229533;77.3243878
15048,13.083332,77.2555583,13.083332;77.2555583
15049,13.0194049,77.56166,13.0194049;77.56166
15050,13.0147937,76.971205,13.0147937;76.971205
15051,12.2275054,80.1422841,12.2275054;80.1422841
15052,13.0911402,79.940436,13.0911402;79.940436
15053,13.0978942,79.7110451,13.0978942;79.7110451
15054,13.167131,79.5434127,13.167131;79.5434127
15055,13.1671396,79.8097104,13.1671396;79.8097104
15056,13.1671353,78.1234185,13.1671353;78.1234185
15057,11.3921832,78.8685032,11.3921832;78.8685032
15058,11.2375997,78.9920202,11.2375997;78.9920202
15059,11.4968264,78.8095043,11.4968264;78.8095043
15060,11.1201753,77.9790863,11.1201753;77.9790863
15061,11.5044174,77.5585567,11.5044174;77.5585567
15062,11.9561436,80.1974382,11.9561436;80.1974382
15063,10.8368466,80.1477348,10.8368466;80.1477348
15064,11.1043596,79.4784821,11.1043596;79.4784821
15065,12.6230345,78.314955,12.6230345;78.314955
15066,11.7745835,78.167259,11.7745835;78.167259
15067,11.9118909,79.1431488,11.9118909;79.1431488
15068,12.7904509,79.6523067,12.7904509;79.6523067
15069,8.9539559,79.73683,8.9539559;79.73683
15070,9.5810815,79.1110885,9.5810815;79.1110885
15071,9.9621155,78.5427256,9.9621155;78.5427256
15072,10.6553173,78.0029216,10.6553173;78.0029216
15073,9.6961348,78.477466,9.6961348;78.477466
15074,10.9660325,78.819733,10.9660325;78.819733
15075,10.8786722,78.0896006,10.8786722;78.0896006
15076,10.9926541,77.1931127,10.9926541;77.1931127
15077,10.9532359,77.9701201,10.9532359;77.9701201
15078,10.007932,77.895565,10.007932;77.895565
15079,11.098485,77.3521911,11.098485;77.3521911
15080,11.0477059,77.708065,11.0477059;77.708065
15081,11.0846385,77.364315,11.0846385;77.364315
15082,11.0991921,77.4814337,11.0991921;77.4814337
15083,11.0903168,80.1877993,11.0903168;80.1877993
15084,12.9266014,80.1771584,12.9266014;80.1771584
15085,12.505095,79.0405699,12.505095;79.0405699
15086,12.9908799,79.4013591,12.9908799;79.4013591
15087,12.504735,79.5434671,12.504735;79.5434671
15088,11.8325,79.1343887,11.8325;79.1343887
15089,13.0363321,79.7820847,13.0363321;79.7820847
15090,13.0313695,79.7110307,13.0313695;79.7110307
15091,13.0860527,79.8396694,13.0860527;79.8396694
15092,12.8935901,78.7853797,12.8935901;78.7853797
15093,12.3229133,78.7406604,12.3229133;78.7406604
15094,12.2275024,78.4835894,12.2275024;78.4835894
15095,13.1307978,77.5423134,13.1307978;77.5423134
15096,13.1308021,77.5210316,13.1308021;77.5210316
15097,13.1162399,77.5594214,13.1162399;77.5594214
15098,11.1614633,76.9387604,11.1614633;76.9387604
15099,11.1176998,76.7469318,11.1176998;76.7469318
15100,12.5194395,76.9475626,12.5194395;76.9475626
15101,10.5985511,76.4915576,10.5985511;76.4915576
15102,11.39233,80.2359512,11.39233;80.2359512
15103,11.9969732,77.0502567,11.9969732;77.0502567
15104,10.9622149,77.9593351,10.9622149;77.9593351
15105,8.273445,77.2916511,8.273445;77.2916511
15106,11.8324831,77.4379673,11.8324831;77.4379673
15107,9.9115801,77.736998,9.9115801;77.736998
15108,9.3096576,77.5764882,9.3096576;77.5764882
15109,9.1047584,77.5765226,9.1047584;77.5765226
15110,9.9751429,78.8051548,9.9751429;78.8051548
15111,9.7897728,78.8684135,9.7897728;78.8684135
15112,10.7787719,78.869155,10.7787719;78.869155
15113,10.9996518,78.1907957,10.9996518;78.1907957
15114,10.3686049,78.2298754,10.3686049;78.2298754
15115,10.3554655,79.9770986,10.3554655;79.9770986
